,Kurzbeschreibung,Beschreibung,Einheit
tmin,Lufttemperatur 2m Monatsminimum,"Lufttemperatur in 2m Höhe, Monatsminimum aus Tagesminima - kleinstes absolutes Tagesminimum",°C
tmine10,Erdbodentemperatur -10cm Tag des Monatsminimums,"Erdbodentemperatur in 10cm Tiefe, Tag des Monatsminimums der Stundenwerte - Tag des Monatsminimums",
tmine100,Erdbodentemperatur -100cm Tag des Monatsminimums,"Erdbodentemperatur in 100cm Tiefe, Tag des Monatsminimums der Stundenwerte - Tag des Monatsminimums",
tmine20,Erdbodentemperatur -20cm Tag des Monatsminimums,"Erdbodentemperatur in 20cm Tiefe, Tag des Monatsminimums der Stundenwerte - Tag des Monatsminimums",
tmine200,Erdbodentemperatur -200cm Tag des Monatsminimums,"Erdbodentemperatur in 200cm Tiefe, Tag des Monatsminimums der Stundenwerte - Tag des Monatsminimums",
tmine50,Erdbodentemperatur -50cm Tag des Monatsminimums,"Erdbodentemperatur in 50cm Tiefe, Tag des Monatsminimums der Stundenwerte - Tag des Monatsminimums",
tmint,Lufttemperatur 2m Tag des Monatsminimums,"Lufttemperatur in 2m Höhe, Tag des Monatsminimums - Tag des Monatsminimums",
tropen,Zahl der Tropentage,Zahl der Tropentage: Tagesmaximum der Lufttemperatur in 2m Höhe >=30.0°C - Summe der Tage mit tmax >= 30.0 °C,
trueb,Zahl der trüben Tage,Zahl der trüben Tag: Bewölkungsmenge Tagesmittel > 80/100 - Bewölkungsmittel (bewmit) > 80/100,
typ,Qualitätstyp,"Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
v100,Windgeschwindigkeit Zahl der Tage mit Böen >= 100 km/h,Zahl der Tage mit Windböen >= 100 km/h - wenn vvmax > 277 und <999,
v60,Windgeschwindigkeit Zahl der Tage mit Böen >= 60 km/h,Zahl der Tage mit Windböen >= 60 km/h - wenn vvmax > 166 und < 999,
v70,Windgeschwindigkeit Zahl der Tage mit Böen >= 70 km/h,Zahl der Tage mit Windböen >= 70 km/h - wenn vvmax > 194 und <999,
v80,Windgeschwindigkeit Zahl der Tage mit Böen >= 80 km/h,Zahl der Tage mit Windböen >= 80 km/h - wenn vvmax > 222 und < 999,
vv,Windgeschwindigkeit Monatsmittel,"Windgeschwindigkeit, Monatsmittel aus Tagesmitteln",m/s
w6,Windgeschwindigkeit Zahl der Tage mit Windstärke >= 6 Bft,"Zahl der Tage mit Windstärke >= 6 Bft, aus Code C - code_c = (3, 4, 6, 7, 8, 9, 10, 11)",
w8,Windgeschwindigkeit Zahl der Tage mit Windstärke >= 8 Bft,"Zahl der Tage mit Windstärke >= 8 Bft, aus Code C - code_c = (4, 7, 9, 11)",
