statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
16711;11392;WOERTERBERG;Burgenland;160548;471334;404;404;20070701;ZAMG;TAWES;Ja;16,09666667;47,22611111
16800;11192;KLEINZICKEN;Burgenland;162008;471227;265;267;19921210;ZAMG;TAWES;Ja;16,33555556;47,2075
16905;11108;GASCHURN;Vorarlberg;100143;465909;976;973;20070801;ZAMG;TAWES;Ja;10,02861111;46,98583333
17002;11312;GALTUER;Tirol;101108;465804;1587;1577;19961101;ZAMG;TAWES;Ja;10,18555556;46,96777778
17005;11310;ISCHGL-IDALPE;Tirol;101902;465855;2323;2319;19840901;FREMD;TAWES;Nein;10,31722222;46,98194444
17102;11113;NAUDERS;Tirol;102949;465328;1330;1341;20040601;ZAMG;TAWES;Ja;10,49694444;46,89111111
17301;11127;OBERGURGL;Tirol;110128;465200;1942;1939;19990108;ZAMG;TAWES;Ja;11,02444444;46,86666667
17315;11316;PITZTALER GLETSCHER;Tirol;105245;465537;2864;2848;19940101;ZAMG;TAWES;Ja;10,87916667;46,92694444
17320;11318;BRUNNENKOGEL;Tirol;105142;465446;3438;3429;20030701;ZAMG;TAWES;Ja;10,86166667;46,91277778
17701;11300;ST.JAKOB/DEF.;Tirol;122114;465501;1388;1381;20070706;ZAMG;TAWES;Nein;12,35388889;46,91694444
17901;11204;LIENZ;Tirol;124823;464932;661;668;19851201;ZAMG;TAWES;Ja;12,80638889;46,82555556
18001;11206;DOELLACH;Kärnten;125409;465748;1078;1074;20040526;ZAMG;TAWES;Nein;12,9025;46,96333333
18111;11260;MALLNITZ;Kärnten;130959;465931;1199;1201;19870210;FREMD;TAWES;Ja;13,16638889;46,99194444
18121;11261;OBERVELLACH;Kärnten;131324;465544;810;811;19861201;FREMD;TAWES;Ja;13,22333333;46,92888889
18210;11215;MILLSTATT;Kärnten;133423;464829;717;719;19820601;FREMD;TAWES;Nein;13,57305556;46,80805556
18225;11272;SPITTAL/DRAU;Kärnten;132914;464726;542;544;19930608;ZAMG;TAWES;Ja;13,48722222;46,79055556
18231;11273;GMUEND;Kärnten;133203;465410;738;740;20080723;ZAMG;TAWES;Ja;13,53416667;46,90277778
18402;11222;FLATTNITZ;Kärnten;140210;465627;1437;1434;20070701;ZAMG;TAWES;Ja;14,03611111;46,94083333
